"","Author","rel_fit","sm_magnitude"
"652","Wangetal",0.75,"1"
"654","Wangetal",0.75,"1"
"656","Wangetal",0.75,"1"
"657","Wangetal",0.75,"1"
"651","Wangetal",0.807692307692,"1"
"659","Wangetal",0.839654344695,"1"
"658","Wangetal",0.960633701392,"1"
"674","Wangetal",0.964285714286,"1"
"661","Wangetal",0.96442348907,"1"
"663","Wangetal",0.96442348907,"1"
"664","Wangetal",0.967479674797,"1"
"665","Wangetal",0.967479674797,"1"
"650","Wangetal",1.03846153846,"1"
"666","Wangetal",1.06504065041,"1"
"662","Wangetal",1.07115302186,"1"
"649","Wangetal",1.15384615385,"1"
"660","Wangetal",1.19971195391,"1"
"667","Wangetal",1.23529411765,"1"
"668","Wangetal",1.27058823529,"1"
"673","Wangetal",1.33928571429,"1"
"653","Wangetal",1.5,"1"
"655","Wangetal",1.5,"1"
"671","Wangetal",1.77391304348,"1"
"685","Weinbaumetal",0.661157024793,"1"
"686","Weinbaumetal",0.849056603774,"1"
"687","Weinbaumetal",1.15094339623,"1"
"684","Weinbaumetal",1.33884297521,"1"
"746","Williamsetal.",0,"1"
"747","Williamsetal.",0,"1"
"755","Williamsetal.",0.6,"1"
"741","Williamsetal.",0.833333333333,"2"
"744","Williamsetal.",0.870967741935,"2"
"753","Williamsetal.",0.882352941176,"2"
"749","Williamsetal.",0.929577464789,"2"
"743","Williamsetal.",0.967741935484,"2"
"748","Williamsetal.",1.01408450704,"2"
"750","Williamsetal.",1.05633802817,"2"
"751","Williamsetal.",1.05882352941,"2"
"752","Williamsetal.",1.05882352941,"2"
"739","Williamsetal.",1.06666666667,"2"
"740","Williamsetal.",1.1,"2"
"742","Williamsetal.",1.16129032258,"2"
"754","Williamsetal.",1.2,"1"
"756","Williamsetal.",1.2,"1"
"745","Williamsetal.",3,"1"
